,Title,Company,Salary,Summary
0,Front-End Developer,TBCASoft,,"React, Node.js, HTML5, CSS. Understanding of Java and Python is a plus. Fluent in English."
1,"Software Engineering Intern, Summer 2022",Google,,Python. About the job Software Engineering Interns at Google are researchers and developers who...
2,Front-end Developer (EDL),Trend Micro,,We are looking for Front-End developer who will work with UI / UX... Familiar with Python or Java...
3,Software Automation and Tools Developer,NVIDIA,,looking for SWQA Test/Tools Developer (RDSS Intern) who has good... skills with Python... C#...
4,Python Developer / Senior Python Developer,XREX,,full-stack developers? Come... hiring for pythondevelopers and senior pythondevelopers who have...
5,Software Developer,Numerix,,"Kafka, ReactJS, Python and others... Docker • Experience with Python is a plus • Knowledge / Experience..."
6,(NEW POST)Algorithm developer,KLA-Tencor,,simulation and visualization tools · managing python-based infrastructure for running experiments...
7,"Test Engineer, Google Nest",Google,,"Java, C++, or Python. Experience... testing and create tools so developers can test... own code..."
8,Customer Service Associate-歡迎身障人士應徵,Amazon Web Services Taiwan Ltd,,"Developer Support Reps, and represent Amazon and AWS as you interact directly with our Developer..."
9,Software Developer 3,Oracle,,Software Developer 3-21000XS9... Scripting - Python / Perl / Shell / Python. Programming - SQL...
10,Industrial-AI Advanced Algorithm Developer,台灣積體電路製造,,"algorithm code development with expertise in: Python, Matlab, Linux, Optimization, Machine Learning..."
11,Sr. Backend Developer,Trend Micro,,"Developer... part... Have experience in Java, Go or Python programming language Master..."
12,RPA Process Analyst and Bot Developer,NVIDIA,,"RPA process analyst and developer role is a new position Nvidia... like C/C++, Python, VB Script..."
13,"Mid.-Sr. Python/Django Developer, Backend, EC SaaS, AWS",矽羽智慧電商,,件要求 Qualifications: 5+ years of experience in Python with Django and Django Rest Framework. Strong...
14,Sr. Front-end Developer (DDI),Trend Micro,,web application framework Familiar with Git process Python programming skill is a plus Experience...
15,Rails Developer,TEAMT5,"月薪40,000元","complex applications, often using Ruby on Rails and Python. Help maintain code quality, organization..."
16,【ND】資料庫工程師 Database Developer,TEAMT5,"月薪40,000元",Skills: 1.具備關聯式或非關聯式資料庫經驗 2.熟悉 SQL 語法 3.熟悉 Python 語言 4.具備開發 ETL/Data Pipeline 經驗 5.熟悉 Linux 系統操作 6...
17,Support Engineer-BI/Power BI,Microsoft,,"Data Mining, Report Designer or developer • Heterogeneous Database... MDX, SQL, Python • Conceptual..."
18,(NEW POST)資料工程師 Data Developer,ViewSonic International Corporation,"月薪40,000 - 70,000元",audiences. • Work... developers’ team to define new data... languages: Python or R...
19,(NEW POST)Support Engineer-Big Data,Microsoft,,"Ecosystem (Linux, Apache, etc.) • Developer Experience: Python, Scala, R • Experience with one..."
20,Service Delivery Manager,Merck KGaA Darmstadt Germany,,"program using the PHP, Java, Python, SQL Server, unstructured DB... Service Manager, Developer..."
21,Industrial-AI Advanced Algorithm Developer,台灣積體電路製造,,"algorithm code development with expertise in: Python, Matlab, Linux, Optimization, Machine Learning..."
22,"RF Automation Engineer, Devices and Services, Nest",Google,,"Python, Go, etc.). Familiarity with scripting and test automation software (e.g., Python, Git..."
23,Web Developer 全棧工程師,翰林教育科技,"月薪60,000 - 100,000元",Linux (主要) - Unity3D - Python、Node.js 以上任一種 Script 類語言 執行環境為... Node.js 10 、 Python 3.7 - 時間限制 2...
24,Customer Service Associate-歡迎身障人士應徵,Amazon Web Services Taiwan Ltd,,"Developer Support Reps, and represent Amazon and AWS as you interact directly with our Developer..."
25,Front-end Developer (EDL),Trend Micro,,We are looking for Front-End developer who will work with UI / UX... Familiar with Python or Java...
26,Sr. Backend Developer 資深後端工程師,漸強實驗室 Crescendo Lab Ltd.,"月薪40,000元",completion. Familiar with Python web frameworks (Django/Flask... Our Tech Stack Python (Django...
27,Junior Developer 初階工程師,翰林教育科技,"月薪32,000 - 60,000元",Linux (主要) - Unity3D - Python、Node.js 以上任一種 Script 類語言 執行環境為... Node.js 10 、 Python 3.7 - 時間限制 2...
28,Software Developer,Numerix,,"Kafka, ReactJS, Python and others... Docker • Experience with Python is a plus • Knowledge / Experience..."
29,Software Automation and Tools Developer,NVIDIA,,looking for SWQA Test/Tools Developer (RDSS Intern) who has good... skills with Python... C#...
30,Python Software Engineer,"Prudential Financial, Inc",,looking... PythonDeveloper... PythonDeveloper Good technical knowledge of Python and related...
31,Support Engineer-WDK/HLK DEVICE,Microsoft,,"Developer Support position supporting Microsoft’s developer... C, C#... Python and RESTful..."
32,Sr Web Developer- Front-End,A10 Networks,,"Sr Web Developer- Front-End Job Title: Sr Web Developer – Front... AngularJS, Python, Django..."
33,Software Engineer,Texas Instruments,,"C, C++, Python, JavaScript... C programming skills Extensive Python programming experience Linux..."
34,Web / Mobile App Developer 軟體工程師 (台北),Oursky Limited,,"雖然我們大部分的程式碼都是 Python 或 Go,但也會用... 們期望你能快速學習大部分技術): * 後端 Backend: Python, Go, Typescript, C#, Kotlin..."
35,Sr. Full Stack Web Developer (可視訊面試及彈性WFH),NETBASE QUID,"月薪40,000元","end languages and libraries, e.g. NodeJS, Python, GraphQL, Ruby on Rails • Knowledge of database..."
36,Business Analyst,源匙全球台灣有限公司,,"Manager, or Developer Experience... Swift, Java, SQL, PHP, C++, or Python is an advantage 遠端型態 完全遠端面試..."
37,(NEW POST)Cloud Engineer,Trend Micro,,full cycle developer responsible... related. 2. Programming experience on Python or Java. (We may need...
38,Software Engineer,Lucent Sky,,"source software with C#, Java, Python, or C++ Practical experience... Experience with developer tools..."
39,Windows System/Software Developer,Hewlett Packard Enterprise,,"Software Developer (Specialist... administration. Highly Prefer: Python, PowerShell, Perl, batch..."
40,Sr. Front-end Developer (DDI),Trend Micro,,web application framework Familiar with Git process Python programming skill is a plus Experience...
41,Sr. Full Stack Software Developer,Trend Micro,,"integrating RESTful APIs Experience in Python, Django Experience in Node.js Work in AWS/Azure/GCP..."
42,Software Developer,Numerix (Taiwan) Ltd,,"Kafka, ReactJS, Python and others... Docker • Experience with Python is a plus • Knowledge / Experience..."
43,(NEW POST)Front-end Developer (EDL),Trend Micro Incorporated Philippine Branch,,We are looking for Front-End developer whowill work with UI / UX... Familiar with Python or Java...
44,Sr. Backend Developer,Trend Micro,,"Developer... part... Have experience in Java, Go or Python programming language Master..."
45,"Software Developer ( IoT Platform, Software Design )",Calyx,,full-stack developer to join our... AWS... GCP [Back-end] Python and python Web framework (Django...
46,Sr. Full Stack Software Developer,Trend Micro,,"integrating RESTful APIs Experience in Python, Django Experience in Node.js Work in AWS/Azure/GCP..."
47,【ND】資料庫工程師 Database Developer,TEAMT5,"月薪40,000元",Skills: 1.具備關聯式或非關聯式資料庫經驗 2.熟悉 SQL 語法 3.熟悉 Python 語言 4.具備開發 ETL/Data Pipeline 經驗 5.熟悉 Linux 系統操作 6...
48,Staff Developer 工程組長,翰林教育科技,"月薪80,000 - 150,000元",Linux (主要) - Unity3D - Python、Node.js 以上任一種 Script 類語言 執行環境為... Node.js 10 、 Python 3.7 - 時間限制 2...
49,Support Engineer-WDK/HLK DEVICE,Microsoft,,"Developer Support position supporting Microsoft’s developer... C, C#... Python and RESTful..."
50,(NEW POST)Support Engineer-Big Data,Microsoft,,"Ecosystem (Linux, Apache, etc.) • Developer Experience: Python, Scala, R • Experience with one..."
51,Support Engineer-BI/Power BI,Microsoft,,"Data Mining, Report Designer or developer • Heterogeneous Database... MDX, SQL, Python • Conceptual..."
52,"Jr. Python/Django Developer, Backend, EC SaaS, AWS",矽羽智慧電商,,件要求 Qualifications: 2+ years of experience in Python with Django and Django Rest Framework. Strong...
53,Full Stack Developer (Python),米高蒲志(Michael Page),,"languages like Python, PHP, Ruby, JavaScript, etc. We use Python... Stack Developer (Python) 寄件人郵箱..."
54,[Remote] Senior Python Developer,萬寶華企業管理顧問股份有限公司,,field... least 3 years of experience in Python or Golang - Proficient in Linux environment...
55,Sr. Backend Developer 資深後端工程師,漸強實驗室 Crescendo Lab Ltd.,"月薪40,000元",completion. Familiar with Python web frameworks (Django/Flask... Our Tech Stack Python (Django...
56,C.Salesforce Developer 雲端工程師,PwC,,"備物件導向程式語言能力 (Java, C#, Ruby, Python, PHP, Javascript, etc..) 2. 具備... e.g. Platform Developer I, II) 5..."
57,Site Reliability Engineer,Trend Micro,,looking... developer or aspiring developer who would like... increase developer productivity...
58,Sr Full-Stack Web Developer,A10 Networks,,"full stack developer by working... Python, Django, Flask, and AngularJS . ‧ Excellent in Python..."
